date_bench,sum_time,sum_time_norm,sum_people,perc,start,end,range_sec
20170728-1,3208,0:53:28,7,0.162,10:30:00,16:00:00,19800
20170728-2,2612,0:43:32,20,0.132,10:30:00,16:00:00,19800
20170728-3,5591,1:33:11,14,0.282,10:30:00,16:00:00,19800
20170728-4,2190,0:36:30,19,0.111,10:30:00,16:00:00,19800
20170728-5,5570,1:32:50,14,0.281,10:30:00,16:00:00,19800
20170728-6,3963,1:06:03,22,0.2,10:30:00,16:00:00,19800
20170728-all,23134,6:25:34,96,0.195,10:30:00,16:00:00,19800
20170802-1,286,0:04:46,3,0.023,11:00:00,14:30:00,12600
20170802-2,217,0:03:37,3,0.017,11:00:00,14:30:00,12600
20170802-3,972,0:16:12,3,0.077,11:00:00,14:30:00,12600
20170802-4,1119,0:18:39,7,0.089,11:00:00,14:30:00,12600
20170802-5,347,0:05:47,3,0.028,11:00:00,14:30:00,12600
20170802-6,362,0:06:02,7,0.029,11:00:00,14:30:00,12600
20170802-all,3303,0:55:03,26,0.044,11:00:00,14:30:00,12600
20170803-1,3528,0:58:48,10,0.163,11:00:00,17:00:00,21600
20170803-2,3937,1:05:37,14,0.182,11:00:00,17:00:00,21600
20170803-3,22,0:00:22,1,0.001,11:00:00,17:00:00,21600
20170803-4,1822,0:30:22,4,0.084,11:00:00,17:00:00,21600
20170803-5,4204,1:10:04,24,0.195,11:00:00,17:00:00,21600
20170803-6,3230,0:53:50,12,0.15,11:00:00,17:00:00,21600
20170803-all,16743,4:39:03,65,0.129,11:00:00,17:00:00,21600
20170804-1,2211,0:36:51,10,0.072,10:30:00,19:00:00,30600
20170804-2,0,0:00:00,0,0.0,10:30:00,19:00:00,30600
20170804-3,7001,1:56:41,13,0.229,10:30:00,19:00:00,30600
20170804-4,2217,0:36:57,14,0.072,10:30:00,19:00:00,30600
20170804-5,3336,0:55:36,17,0.109,10:30:00,19:00:00,30600
20170804-6,760,0:12:40,5,0.025,10:30:00,19:00:00,30600
20170804-all,15525,4:18:45,59,0.085,10:30:00,19:00:00,30600
20170806-1,912,0:15:12,12,0.028,11:00:00,20:00:00,32400
20170806-2,6817,1:53:37,15,0.21,11:00:00,20:00:00,32400
20170806-3,4245,1:10:45,21,0.131,11:00:00,20:00:00,32400
20170806-4,3985,1:06:25,20,0.123,11:00:00,20:00:00,32400
20170806-5,1835,0:30:35,24,0.057,11:00:00,20:00:00,32400
20170806-6,999,0:16:39,18,0.031,11:00:00,20:00:00,32400
20170806-all,18793,5:13:13,110,0.097,11:00:00,20:00:00,32400
